Q,A
Do I get any placement opportunities upon course completion?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
Do I get any placement support?,"The partners will have the details about placement opportunities on their respective course page. Please go to the course smartcard, click “View more” and get more details on our Partner’s course page."
What do “Industry and Government Approved” courses mean?,’Industry and Government courses’’ are aligned to competency standards developed by the Sector Skill Council of NASSCOM in collaboration with Industry and approved by Government.
What is “Industry and Government Approved” courses?,’Industry and Government courses’’ are aligned to competency standards developed by the Sector Skill Council of NASSCOM in collaboration with Industry and approved by Government.
What are Industry and Government approved courses?,The courses under the Industry and Government approved category are of two types - Foundation Courses and Skill-based Courses. These courses match the curricula approved by the Industry and the Government of India. Foundation courses cover the key concepts of a technology and are ideal for you if you are new to the technology. Skill-based courses are designed to give you the skills specific to the job roles in each technology.
What is Industry and Government approved courses?,The courses under the Industry and Government approved category are of two types - Foundation Courses and Skill-based Courses. These courses match the curricula approved by the Industry and the Government of India. Foundation courses cover the key concepts of a technology and are ideal for you if you are new to the technology. Skill-based courses are designed to give you the skills specific to the job roles in each technology.
What does Industry and Government approved courses mean? ,The courses under the Industry and Government approved category are of two types - Foundation Courses and Skill-based Courses. These courses match the curricula approved by the Industry and the Government of India. Foundation courses cover the key concepts of a technology and are ideal for you if you are new to the technology. Skill-based courses are designed to give you the skills specific to the job roles in each technology.
What is Industry approved course?,The courses under the Industry and Government approved category are of two types - Foundation Courses and Skill-based Courses. These courses match the curricula approved by the Industry and the Government of India. Foundation courses cover the key concepts of a technology and are ideal for you if you are new to the technology. Skill-based courses are designed to give you the skills specific to the job roles in each technology.
What is Government approved course?,The courses under the Industry and Government approved category are of two types - Foundation Courses and Skill-based Courses. These courses match the curricula approved by the Industry and the Government of India. Foundation courses cover the key concepts of a technology and are ideal for you if you are new to the technology. Skill-based courses are designed to give you the skills specific to the job roles in each technology.
What are foundation courses?,Foundation courses cover the key concepts of a technology and are ideal beginners. They match the curricula approved by the Industry and the Government of India.
What is foundation course?,Foundation courses cover the key concepts of a technology and are ideal beginners. They match the curricula approved by the Industry and the Government of India.
What is a foundation course?,Foundation courses cover the key concepts of a technology and are ideal beginners. They match the curricula approved by the Industry and the Government of India.
What does foundation course mean?,Foundation courses cover the key concepts of a technology and are ideal beginners. They match the curricula approved by the Industry and the Government of India.
I want to know about foundation course?,Foundation courses cover the key concepts of a technology and are ideal beginners. They match the curricula approved by the Industry and the Government of India.
Who should be taking a Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
Who should take a Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
Who can take a Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
Who can register for Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
Who are eligible for taking a Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
Who should enroll for Foundation courses?,"If you have basic awareness but lack prior experience of working with the technology, taking the foundation course first would be highly beneficial."
What are skill-based courses?,Skill-based courses  are designed to give you the skills specific to the job roles in each technology. They match the curricula approved by Industry and the Government of India.
What is a skill-based course?,Skill-based courses  are designed to give you the skills specific to the job roles in each technology. They match the curricula approved by Industry and the Government of India.
What does skill-based course mean?,Skill-based courses  are designed to give you the skills specific to the job roles in each technology. They match the curricula approved by Industry and the Government of India.
Why skill-based courses?,Skill-based courses  are designed to give you the skills specific to the job roles in each technology. They match the curricula approved by Industry and the Government of India.
Who should be taking a skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
Who should take a skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
Who can take a skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
Who can register for skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
Who are eligible for taking a skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
Who should enroll for skill-based courses?,"If you have prior knowledge and/or experience of having worked with the technology, taking a skill-based course would be highly recommended."
How do I enroll in a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How to enroll in a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How can I enroll in a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How do I register for a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How to register for a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
What is the procedure to enroll in a course?,"To start a course, click on the course ->  a brief course description will be displayed followed by a link called “View More”. 
Click on the View More link to start the course. "
How to register for a foundation course?,"To start a Foundation or Skill-based course, you click on the course and the details of the course will be displayed. 
Click Next. This will take you to the main course card with a brief course description and the View More link. 
Click on the View More link to start the course."
How to enroll in a foundation course?,"To start a Foundation or Skill-based course, you click on the course and the details of the course will be displayed. 
Click Next. This will take you to the main course card with a brief course description and the View More link. 
Click on the View More link to start the course."
I am unable to access a course.,"Please clear your cookies from the settings options of your browser and try again. 
Ensure you have enabled ""Allow Cookies"" in the browser settings.
If it still does not work, open the site in an incognito window."
I could'nt access the courses.,"Please clear your cookies from the settings options of your browser and try again. 
Ensure you have enabled ""Allow Cookies"" in the browser settings.
If it still does not work, open the site in an incognito window."
I can't access the courses.,"Please clear your cookies from the settings options of your browser and try again. 
Ensure you have enabled ""Allow Cookies"" in the browser settings.
If it still does not work, open the site in an incognito window."
What should I do If I can't access the courses?,"Please clear your cookies from the settings options of your browser and try again. 
Ensure you have enabled ""Allow Cookies"" in the browser settings.
If it still does not work, open the site in an incognito window."
The course is not accessible. ,"Please clear your cookies from the settings options of your browser and try again. 
Ensure you have enabled ""Allow Cookies"" in the browser settings.
If it still does not work, open the site in an incognito window."
"I completed a course however, it is not marked as completed.",.Your course completion data will update in 48 hours. If it does not update in 48 hours.
"Even though I completed course, it is not marked as completed.",.Your course completion data will update in 48 hours. If it does not update in 48 hours.
The completed course is not marked as completed.,.Your course completion data will update in 48 hours. If it does not update in 48 hours.
"The course is not marked completed, even after I completed the course.",.Your course completion data will update in 48 hours. If it does not update in 48 hours.
The course is not mbeing marked as complete.,.Your course completion data will update in 48 hours. If it does not update in 48 hours.
I am unable to locate the 'Start' button after buying a course at checkout screen,"If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
"I purchased a course, but I can't find the ""Start"" option on the checkout screen.","If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
"I bought a course, but on the checkout screen, I can't find the ""Start"" button.","If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
I am unable to locate the 'Start' button at checkout screen,"If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
"I can't find the ""Start"" option on the checkout screen.","If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
Where is the Start option on the checkoyt screen?,"If you are on the purchase screen: Please scroll to the top of the screen to see the 'Start' button and click it to start your course.
If you are on any other page than the purchase screen: Please visit FutureSkill prime home page, visit the SmartCard of the course and click “View More”. This will take you to the course page."
I am travelling outside India will I be able to access my course?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
Will I be able to access my course from outside the country?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
Will I be able to access my course from abroad?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
Are the courses accessibe outside the country?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
Will I have access to my course when travelling abroad?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
Will I have access to my course when travelling outside the country?,"If you are travelling abroad, you will not be able to access your course content. Futureskills Prime is currently only available for Indian Citizens residing within India."
"I completed the course, However I have not received the certificate yet.",Please Mention the Course Provider with your query.
 I have not received the certificate yet.,Please Mention the Course Provider with your query.
I didn't received the certificate yet.,Please Mention the Course Provider with your query.
I have not received the certificate from Intellipaat.,There is no completions certificate rewarded for the Intellipaat course completion
Do Intellipaat provide certificates?,There is no completions certificate rewarded for the Intellipaat course completion
When will certifices be issued by Adobe?,Certificate for Adobe course completions are shared 7th & 28th of Every month
I have not received the certificate from Adobe.,Certificate for Adobe course completions are shared 7th & 28th of Every month
When will certifices be issued by IPL?,Certificate for IPL course completions are shared within 7-10 days post the course completion
I have not received the certificate from IPL.,Certificate for IPL course completions are shared within 7-10 days post the course completion
When will certifices be issued by Analyttica?,Certificate for Analyttica course completions are shared Immediately post the course completion
I have not received the certificate from Analyttica.,Certificate for Analyttica course completions are shared Immediately post the course completion
When will certifices be issued by Manipal-Jigsaw,Certificate for Jigsaw course completions are shared within 4-5 days post the course completion
I have not received the certificate from Manipal-Jigsaw.,Certificate for Jigsaw course completions are shared within 4-5 days post the course completion
I have not received the certificate from AWS(AWS Master class – Discovery Day).,Certificate for AWS(AWS Master class – Discovery Day)course completions are shared within 6 days post passing the course assessment conducted by Ethnus
When will certifices be issued for AWS Master class?,Certificate for AWS(AWS Master class – Discovery Day)course completions are shared within 6 days post passing the course assessment conducted by Ethnus
I have not received the certificate from AWS.,Certificate for AWS course completions are shared within 6 days post passing the course assessment conducted by Ethnus
When will certifices be issued by AWS?,Certificate for AWS course completions are shared within 6 days post passing the course assessment conducted by Ethnus
I have not received the certificate from AWS Master class – Discovery Day.,Certificate for AWS(AWS Master class – Discovery Day)course completions are shared within 6 days post passing the course assessment conducted by Ethnus
When will certifices be issued by AWS Mater class?,Certificate for AWS(AWS Master class – Discovery Day)course completions are shared within 6 days post passing the course assessment conducted by Ethnus
I have not received the certificate from Naresh I Technologies.,Certificate for Naresh I Technologies course completions are shared within 2-3 days post the course completion
When will certifices be issued by Naresh I Technologies?,Certificate for Naresh I Technologies course completions are shared within 2-3 days post the course completion
I have not received the certificate from Microsoft - Virtual Internship (Future Ready Talent) Program.,"Certificate for Microsoft course completions are shared after project submission, 15 working days, so 3 weeks at least"
When will certifices be issued by Microsoft?,"Certificate for Microsoft course completions are shared after project submission, 15 working days, so 3 weeks at least"
I have not received the certificate for Microsoft course.,"Certificate for Microsoft course completions are shared after project submission, 15 working days, so 3 weeks at least"
When will certifices be issued for Microsoft course?,"Certificate for Microsoft course completions are shared after project submission, 15 working days, so 3 weeks at least"
I have not received the certificate from AWS(Cloud Practitioner Essentials).,Certificate for AWS(Cloud Practitioner Essentials) course completions are shared on 6th day of every new month
When will certifices be issued by AWS Cloud Practitioner Essentials?,Certificate for AWS(Cloud Practitioner Essentials) course completions are shared on 6th day of every new month
I have not received the certificate from CISCO.,Certificate for CISCO course completions are shared Immediately post the course completion
When will certifices be issued by CISCO?,Certificate for CISCO course completions are shared Immediately post the course completion
I have not received the certificate from Salesforce.,Certificate for SalesForce course completions are shared within 15 days - post receiving the completion data.
 When will certifices be issued by Salesforce?,Certificate for SalesForce course completions are shared within 15 days - post receiving the completion data.
I have not received the certificate from CloudThat,Certificate for CloudThat course completions are shared within 7-10 days post the course completion
 When will certifices be issued by CloudThat?,Certificate for CloudThat course completions are shared within 7-10 days post the course completion
I have not received the certificate from SkillsDA.,Certificate for SkillsDA course completions are shared within 1 week post the course completion
When will certifices be issued by SkillsDA?,Certificate for SkillsDA course completions are shared within 1 week post the course completion
I have not received the certificate from Coding Ninjas.,Certificate for Coding Ninjas course completions are shared within 7-10 days post the course completion
When will certifices be issued by Coding Ninjas?,Certificate for Coding Ninjas course completions are shared within 7-10 days post the course completion
I have not received the certificate from SkillUp.,Certificate for SkillUp course completions are shared within 2 days post the course completion
When will certifices be issued by Skill Up?,Certificate for SkillUp course completions are shared within 2 days post the course completion
I have not received the certificate from Corestack,There is no completions certificate rewarded for the Corestack course completion
When will certifices be issued by Corestack?,There is no completions certificate rewarded for the Corestack course completion
I have not received the certificate from TFTPL (Terv).,Certificate for TFTPL (Terv) course completions are shared within 1 week post the course completion
When will certifices be issued by TFTPL?,Certificate for TFTPL (Terv) course completions are shared within 1 week post the course completion
I have not received the certificate from Digital Vidya,Certificate for Digital Vidya course completions are shared on Every Friday post the course completion
When will certifices be issued by Digital Vidya?,Certificate for Digital Vidya course completions are shared on Every Friday post the course completion
I have not received the certificate from Global Gyan.,Certificate for Global Gyan course completions are shared within 7 days post the course completion
When will certifices be issued by Global Gyan?,Certificate for Global Gyan course completions are shared within 7 days post the course completion
I have not received the certificate from Harappa.,Certificate for Harappa course completions are shared Immediately post the course completion
When will certifices be issued by Harappa?,Certificate for Harappa course completions are shared Immediately post the course completion
I have not received the certificate from Board Infinity.,Certificate for Board Infinity course completions are shared within 1 week post the course completion
When will certifices be issued by Board Infinity?,Certificate for Board Infinity course completions are shared within 1 week post the course completion
I have not received the certificate from Accenture,Certificate for Accenture course completions are shared within 2 weeks post the course completion
When will certifices be issued by Accenture,Certificate for Accenture course completions are shared within 2 weeks post the course completion
I have not received the certificate from Digital 101,Certificate for Digital 101 course completions are shared within 2 days post the course completion
When will certifices be issued by Digital 101?,Certificate for Digital 101 course completions are shared within 2 days post the course completion
Do CoreStack provide certificates?,There is no completions certificate rewarded for the Corestack course completion
I did not received the certificate from Accenture,Certificate for Accenture course completions are shared within 2 weeks post the course completion
What is a Channel ? Why should I follow it ? What happens when I follow a channel ?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
What is a Channel ? ,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
What is a Channel ? Why should I follow it ?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
What happens when I follow a channel ?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
Why should I follow a channel ?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
What is the purpose of the channel?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
What is the need of the channel?,"Channel is a collection of free and paid learning content on a given subject area. For example, the Artificial Intelligence Channel contains Pathways, Courses, Virtual Labs, Assessments and SmartCards on Artificial Intelligence only. 
When you follow a channel, you will be notified when any new content is posted to that channel. "
How do I follow/unfollow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
How do I follow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
How do I unfollow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
How to follow/unfollow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
How to follow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
How to unfollow a channel?,"1.Click the Follow button on any Channel you're interested in following. 
2.The “Follow button” will change to “Following” after you click it. 
Click it again to Unfollow. When you Unfollow a channel, you will no longer receive notifications on any new content being posted to that channel. "
"When I search for a course, I see multiple results with the same name. Which one should I select to learn?",Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
"While I am searching for a course, I get multiple results with the same name. Which one should I select to learn?",Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
Which one should I select if I get multiple results with the same name while searching for a course?,Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
"When I search for a course, I see multiple results with the same name. Which one should I have to choose to learn?",Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
"If I get multiple results with the same name while searching for a course, then which one should I select?",Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
"It shows multiple results with the same name while searching for a course,which one should I select?",Please select the one that has 'Pathway' as its descriptor. Please refer to the attached screenshot.
How to navigate in a Channel panel?,"To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
How to navigate in a Course?,"To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
How to navigate in a Pathway?,"To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
How to navigate in a Channel panels?,"To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
How to navigate in a Carousel?,"To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
"How to navigate in a Carousel (Course, Pathway and Channel panels)?","To access more options in the carousel, click the arrows at the ends. In a carousel view, you can see a maximum of 10 options. To view all the options , click 'View More' at the top right."
What is registration ?,Registration is a process after which learners can benefit from the FutureSkills Prime Government Incentive Program.
What is meant by registration ?,Registration is a process after which learners can benefit from the FutureSkills Prime Government Incentive Program.
What is the difference between Signup and Registration?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
What is the difference between Registration and  Signup?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Difference between Signup and Registration?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Difference between Registration and Signup?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Distinguish between Signup and Registration?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Distinguish between Registration and  Signup?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Differentiate Signup and Registration?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
Differentiate Registration and Signup?,"Signup is the process by which you get access to all the paid and free content on the platform. This is done when you join the platform.
Registration is the process that enables you to get evaluated for the GoI incentive program. This can be done anytime after you join the platform."
What benefits can I avail after registration?,"After registration, eligible beneficiaries will be provided government incentives on selected courses/ assessments/ diagnostics that they complete."
What are the benefits thatt I can avail after registration?,"After registration, eligible beneficiaries will be provided government incentives on selected courses/ assessments/ diagnostics that they complete."
Any benefits that I can avail after registration?,"After registration, eligible beneficiaries will be provided government incentives on selected courses/ assessments/ diagnostics that they complete."
Benefits that I can avail after registration,"After registration, eligible beneficiaries will be provided government incentives on selected courses/ assessments/ diagnostics that they complete."
Is there any benefits that I can avail after registration?,"After registration, eligible beneficiaries will be provided government incentives on selected courses/ assessments/ diagnostics that they complete."
Can I claim Government of India (GOI) incentives more than once?,Please refer to the General Terms and Conditions.
Can I claim Government of India incentives more than once?,Please refer to the General Terms and Conditions.
Can I claim GOI incentives more than once?,Please refer to the General Terms and Conditions
Is it possible to claim Government of India (GOI) incentives more than once?,Please refer to the General Terms and Conditions.
Is it possible to claim Government of India incentives more than once?,Please refer to the General Terms and Conditions.
Is it possible to claim GOI incentives more than once?,Please refer to the General Terms and Conditions.
I have successfully registered. How do I avail GoI incentive?,"Step 1: Register yourself - https://learn.futureskillsprime.in/register
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply For Govt. Of India Incentive through your learner ledger from September 4 onwards"
I have successfully registered. How do I avail Government of India incentive?,"Step 1: Register yourself - https://learn.futureskillsprime.in/register
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply For Govt. Of India Incentive through your learner ledger from September 4 onwards"
I have successfully registered. How do I avail GOI incentive?,"Step 1: Register yourself - https://learn.futureskillsprime.in/register
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply For Govt. Of India Incentive through your learner ledger from September 4 onwards"
After I completed registering how do I avail GOI incentive?,"Step 1: Register yourself - https://learn.futureskillsprime.in/register
Step 2: Complete eligible courses offered on the platform
Step 3: Get successfully certified in industry approved SSC assessments
Step 4: Apply For Govt. Of India Incentive through your learner ledger from September 4 onwards"
What are the eligibility criteria's to avail the Government incentive?,"Registration process is open to all Indian Nationals above 18 years of age.  The current program covers beneficiaries divided in the following broad categories: 
i. IT employees in IT firms and Non-IT firms
ii. Non-IT employees aspiring to use new and emerging technologies in their respective domains
iii. Further, the program would also aim to re-skill/ up-skill employees whose skills for a particular job have become outdated and may no longer be employed
iv. Central Govt. & State Govt. Employees including employees of PSUs & Autonomous bodies (Govt. Employees) would also benefit from the platform
v. Fresh Recruits (who have been offered employment) but are yet to take up a job, as well as undergoing / selected for Internship & Apprenticeship roles in IT/ ITeS are also expected to derive great value from the program."
Eligibility criteria's to avail the Government incentive?,"Registration process is open to all Indian Nationals above 18 years of age.  The current program covers beneficiaries divided in the following broad categories: 
i. IT employees in IT firms and Non-IT firms
ii. Non-IT employees aspiring to use new and emerging technologies in their respective domains
iii. Further, the program would also aim to re-skill/ up-skill employees whose skills for a particular job have become outdated and may no longer be employed
iv. Central Govt. & State Govt. Employees including employees of PSUs & Autonomous bodies (Govt. Employees) would also benefit from the platform
v. Fresh Recruits (who have been offered employment) but are yet to take up a job, as well as undergoing / selected for Internship & Apprenticeship roles in IT/ ITeS are also expected to derive great value from the program."
What are the criteria's to avail the Government incentive?,"Registration process is open to all Indian Nationals above 18 years of age.  The current program covers beneficiaries divided in the following broad categories: 
i. IT employees in IT firms and Non-IT firms
ii. Non-IT employees aspiring to use new and emerging technologies in their respective domains
iii. Further, the program would also aim to re-skill/ up-skill employees whose skills for a particular job have become outdated and may no longer be employed
iv. Central Govt. & State Govt. Employees including employees of PSUs & Autonomous bodies (Govt. Employees) would also benefit from the platform
v. Fresh Recruits (who have been offered employment) but are yet to take up a job, as well as undergoing / selected for Internship & Apprenticeship roles in IT/ ITeS are also expected to derive great value from the program."
Criteria's to avail the Government incentive?,"Registration process is open to all Indian Nationals above 18 years of age.  The current program covers beneficiaries divided in the following broad categories: 
i. IT employees in IT firms and Non-IT firms
ii. Non-IT employees aspiring to use new and emerging technologies in their respective domains
iii. Further, the program would also aim to re-skill/ up-skill employees whose skills for a particular job have become outdated and may no longer be employed
iv. Central Govt. & State Govt. Employees including employees of PSUs & Autonomous bodies (Govt. Employees) would also benefit from the platform
v. Fresh Recruits (who have been offered employment) but are yet to take up a job, as well as undergoing / selected for Internship & Apprenticeship roles in IT/ ITeS are also expected to derive great value from the program."
"I am not part of one of these categories for registration, what should I do?",You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
"I am not part of one of the eligible categories for registration, what should I do?",You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
"I doesnt belong one of the eligible categories for registration, what should I do?",You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
What I have to do if I am not a part of one of these categories for registration?,You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
What should I do if I am not a part of one of these categories for registration?,You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
What should I do if I doesnt belong one of the eligible categories for registration?,You can continue to learn on FutureSkills Prime and upskill yourself. We encourage you to revisit the registration page if your status changes during the course of the Program
What should I do if I don’t have a job offer letter/internship offer letter?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
What should I do if I don’t have a job offer letter?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
What should I do if I don’t have a internship offer letter?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
I don’t have a job offer letter. What can I do?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
I don’t have a job internship offer letter. What can I do?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
I don’t have a job offer letter/internship offer letter. What can I do?,You will be able to avail Government Incentives once you have an offer letter/internship letter. We encourage you to revisit the registration page in the future if your occupation status changes during the course of the Program.
Where can I find the registration link?,Please click the Registration link.
How to Register?,Please click the Registration link and provide basic demographic and occupation / education details.
Shall I mention my temporary or permanent residential address?,You should provide the address as per your  Government ID (Aadhaar / PAN / Voter ID / Passport / Driving License)
How can I edit my Registration details?,You can update your registration details by clicking the Registration link.
I am not able to select the checkbox for accepting the General Terms and Conditions (GTC) link on the registration form. What can I do?,"Please click the GTC link. On clicking the link, a checkbox will be activated. Please select this checkbox."
My current address does not match my Government approved ID. What can I do?,You can provide the address as per your Government ID (Aadhaar / PAN / Voter ID / Passport / Driving License)
"I don’t have a government approved ID, how can I register?","You need to have a valid Government ID (Aadhaar / PAN / Voter ID / Passport / Driving License) to be eligible to apply for GOI Incentive. If you don’t have a Government ID, we request you to apply for one from the respective Government Agency and then register for the Program. Till then you can consume the courses on the platform but would not be eligible for GOI Incentives"
My documents are heavier than the recommended size. What can I do?,We recommend you reduce the image/ pdf size. There are various tools available online that you can use for free.
My company doesn’t provide any salary slip/any company ID. What can I do?,Please provide a salary credit statement from your bank
